place,lat,lon
John F. Kennedy Airport,40.6413,-73.7781
LaGuardia Airport,40.7769,-73.874
Elizabeth Marine Terminal,40.6857,-74.1621
Moynihan Train Hall,40.7523,-73.9946
World Trade Center Tower 4,40.712742,-74.013382
Freedom Tower,40.7127,-74.0134
World Trade Center Museum and Memorial,40.7115,-74.0137
Port Authority of NY & NJ PATH Rail System,40.757,-73.9903
Montclair State University,40.8643,-74.1986
Garden State Plaza Mall,40.9172,-74.0756
"School of Public Health, Harvard University",42.377,-71.1167